Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-04 00:00,11.9,0,100,0,5.6,10,222.9,0.0047,16.95
Pueblo Real (ACAX-TNC),2024-10-04 00:15,11.8,0,100,0,6.5,10,242.5,0.0046,17.12
Pueblo Real (ACAX-TNC),2024-10-04 00:30,11.8,0,100,0,5.7,10,266.2,0.0047,17.12
Pueblo Real (ACAX-TNC),2024-10-04 00:45,11.7,0,100,0,3.1,10,261.4,0.005,17.29
Pueblo Real (ACAX-TNC),2024-10-04 01:00,11.6,0,100,0,3.9,10,295.5,0.0049,17.46
Pueblo Real (ACAX-TNC),2024-10-04 01:15,11.6,0,100,0,3.5,10,325.7,0.005,17.46
Pueblo Real (ACAX-TNC),2024-10-04 01:30,11.7,0,100,0,3.7,10,193.8,0.0049,17.29
Pueblo Real (ACAX-TNC),2024-10-04 01:45,11.8,0,100,0,3.9,10,297.5,0.0049,17.12
Pueblo Real (ACAX-TNC),2024-10-04 02:00,12,0,100,0,6.6,10,267.3,0.0046,16.79
Pueblo Real (ACAX-TNC),2024-10-04 02:15,12.1,0,99,0,3.6,10,298.6,0.0051,17.37
Pueblo Real (ACAX-TNC),2024-10-04 02:30,11.9,0,99,0,4.3,10,129.1,0.005,17.69
Pueblo Real (ACAX-TNC),2024-10-04 02:45,12,0,99,0,3.1,10,41,0.0051,17.53
Pueblo Real (ACAX-TNC),2024-10-04 03:00,11.9,0,99,0,4.8,10,51.4,0.005,17.69
Pueblo Real (ACAX-TNC),2024-10-04 03:15,12.1,0,99,0,4.2,10,352.9,0.005,17.37
Pueblo Real (ACAX-TNC),2024-10-04 03:30,12.1,0,99,0,3.7,10,350.6,0.0051,17.37
Pueblo Real (ACAX-TNC),2024-10-04 03:45,12,0,99,0,4.2,10,357.2,0.005,17.53
Pueblo Real (ACAX-TNC),2024-10-04 04:00,12.2,0,98,0,6.6,10,265,0.0051,17.92
Pueblo Real (ACAX-TNC),2024-10-04 04:15,12.5,0,97,0,6.2,10,257.9,0.0053,18.15
Pueblo Real (ACAX-TNC),2024-10-04 04:30,12.4,0,96,0,4.8,10,318.9,0.0055,18.97
Pueblo Real (ACAX-TNC),2024-10-04 04:45,12.3,0,97,0,4.5,10,331.9,0.0054,18.46
Pueblo Real (ACAX-TNC),2024-10-04 05:00,12.4,0,98,0,4.4,10,332.6,0.0052,17.61
Pueblo Real (ACAX-TNC),2024-10-04 05:15,12.5,0,97,0,4.4,10,351.5,0.0054,18.15
Pueblo Real (ACAX-TNC),2024-10-04 05:30,12.7,0,97,0,5.1,10,307.2,0.0054,17.85
Pueblo Real (ACAX-TNC),2024-10-04 05:45,12.9,0.5,96,0,4.9,10,338.2,0.0056,18.22
Pueblo Real (ACAX-TNC),2024-10-04 06:00,12.9,3.1,97,0,4.9,10,354.3,0.0057,17.56
Pueblo Real (ACAX-TNC),2024-10-04 06:15,12.5,11.6,97,0,5.9,10,8.3,0.0065,18.15
Pueblo Real (ACAX-TNC),2024-10-04 06:30,12.7,32.2,98,0,5,10,15.2,0.0086,17.17
Pueblo Real (ACAX-TNC),2024-10-04 06:45,12.9,58,99,0,4.5,10,5.9,0.0113,16.2
Pueblo Real (ACAX-TNC),2024-10-04 07:00,13,80.6,99,0,4.4,10,2.3,0.0138,16.07
Pueblo Real (ACAX-TNC),2024-10-04 07:15,13.2,111.9,99,0,2.7,10,5.6,0.0179,15.82
Pueblo Real (ACAX-TNC),2024-10-04 07:30,13.9,147.1,98,0,1.2,10,33.7,0.023,15.71
Pueblo Real (ACAX-TNC),2024-10-04 07:45,14.3,206.6,97,0,1.3,9,218.3,0.0303,15.95
Pueblo Real (ACAX-TNC),2024-10-04 08:00,15.4,294.9,93,0,2.8,3,83.8,0.0411,17.33
Pueblo Real (ACAX-TNC),2024-10-04 08:15,17.2,466.9,84,0,5.9,0,276.3,0.0623,20.26
Pueblo Real (ACAX-TNC),2024-10-04 08:30,17.6,345,81,0,6.7,0,231.4,0.0488,21.1
Pueblo Real (ACAX-TNC),2024-10-04 08:45,17.9,468,79,0,7,0,244.9,0.0634,21.6
Pueblo Real (ACAX-TNC),2024-10-04 09:00,18.3,645.8,78,0,10.9,0,252.6,0.0819,21.74
Pueblo Real (ACAX-TNC),2024-10-04 09:15,19.1,777.9,76,0,11.7,0,238.2,0.098,22.07
Pueblo Real (ACAX-TNC),2024-10-04 09:30,18.6,484.8,75,0,9.8,0,257,0.0661,22.42
Pueblo Real (ACAX-TNC),2024-10-04 09:45,18.8,482.1,75,0,8.9,0,276.5,0.0664,22.36
Pueblo Real (ACAX-TNC),2024-10-04 10:00,18.9,544.5,75,0,8.9,0,266.6,0.0736,22.34
Pueblo Real (ACAX-TNC),2024-10-04 10:15,20,933.2,73,0,12.3,0,286.3,0.1175,22.64
Pueblo Real (ACAX-TNC),2024-10-04 10:30,19.9,756.8,73,0,10.1,0,267,0.0994,22.64
Pueblo Real (ACAX-TNC),2024-10-04 10:45,19.5,536.4,74,0,9.3,0,257.4,0.0739,22.46
