Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-02 00:00,12.2,0,100,0,4.5,3,19.6,0.0049,16.48
Pueblo Real (ACAX-TNC),2024-10-02 00:15,12,0,100,0.2,3.7,3,35.6,0.0049,16.79
Pueblo Real (ACAX-TNC),2024-10-02 00:30,11.7,0,100,0,4.3,3,26.5,0.0049,17.29
Pueblo Real (ACAX-TNC),2024-10-02 00:45,11.7,0,100,0,5,3,23.5,0.0048,17.29
Pueblo Real (ACAX-TNC),2024-10-02 01:00,11.6,0,100,0,4.3,3,17,0.0049,17.46
Pueblo Real (ACAX-TNC),2024-10-02 01:15,11.6,0,100,0,4.4,3,23.6,0.0049,17.46
Pueblo Real (ACAX-TNC),2024-10-02 01:30,11.6,0,100,0,4.5,3,15.3,0.0048,17.46
Pueblo Real (ACAX-TNC),2024-10-02 01:45,11.7,0,100,0,5.7,3,22.9,0.0047,17.29
Pueblo Real (ACAX-TNC),2024-10-02 02:00,11.7,0,100,0,3.2,3,18.1,0.005,17.29
Pueblo Real (ACAX-TNC),2024-10-02 02:15,11.6,0,100,0,4,3,26.6,0.0049,17.46
Pueblo Real (ACAX-TNC),2024-10-02 02:30,11.5,0,100,0,4.6,3,32.6,0.0048,17.63
Pueblo Real (ACAX-TNC),2024-10-02 02:45,11.4,0,100,0,3.9,3,34.1,0.0049,17.81
Pueblo Real (ACAX-TNC),2024-10-02 03:00,11.4,0,100,0,3.9,3,10.4,0.0049,17.81
Pueblo Real (ACAX-TNC),2024-10-02 03:15,11.4,0,100,0,4,3,23.9,0.0049,17.81
Pueblo Real (ACAX-TNC),2024-10-02 03:30,11.2,0,100,0,2.6,3,359.3,0.005,18.18
Pueblo Real (ACAX-TNC),2024-10-02 03:45,11.1,0,100,0,1.1,3,12.2,0.0052,18.37
Pueblo Real (ACAX-TNC),2024-10-02 04:00,10.9,0,100,0,3,3,24.5,0.005,18.75
Pueblo Real (ACAX-TNC),2024-10-02 04:15,10.8,0,100,0,1.6,3,62.4,0.0052,18.95
