Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-05 00:00,13.6,0,100,0,1.9,10,51,0.0052,14.69
Pueblo Real (ACAX-TNC),2024-10-05 00:15,13.2,0,100,0,0.6,10,81.4,0.0053,15.13
Pueblo Real (ACAX-TNC),2024-10-05 00:30,13.3,0,100,0,2,10,43,0.0052,15.02
Pueblo Real (ACAX-TNC),2024-10-05 00:45,13.6,0,100,0,1.1,10,10.9,0.0053,14.69
Pueblo Real (ACAX-TNC),2024-10-05 01:00,13.7,0,100,0,0,9,349.6,0.0054,14.59
Pueblo Real (ACAX-TNC),2024-10-05 01:15,13.7,0,100,0,1.6,9,328.7,0.0052,14.59
Pueblo Real (ACAX-TNC),2024-10-05 01:30,13.5,0,100,0,4.4,9,21.8,0.0049,14.79
Pueblo Real (ACAX-TNC),2024-10-05 01:45,13.3,0,100,0,1.8,9,269.3,0.0052,15.02
Pueblo Real (ACAX-TNC),2024-10-05 02:00,13,0,100,0,0,9,156.8,0.0054,15.37
Pueblo Real (ACAX-TNC),2024-10-05 02:15,12.9,0,100,0,0.9,9,31.6,0.0053,15.5
Pueblo Real (ACAX-TNC),2024-10-05 02:30,12.9,0,100,0,0.7,9,223.1,0.0053,15.5
Pueblo Real (ACAX-TNC),2024-10-05 02:45,12.9,0,100,0,0.6,9,49.1,0.0053,15.5
Pueblo Real (ACAX-TNC),2024-10-05 03:00,13.2,0,100,0,1.2,9,23.4,0.0053,15.13
Pueblo Real (ACAX-TNC),2024-10-05 03:15,13.5,0,100,0,1.8,9,1.3,0.0052,14.79
Pueblo Real (ACAX-TNC),2024-10-05 03:30,13.6,0,100,0,0.8,10,346.9,0.0053,14.69
Pueblo Real (ACAX-TNC),2024-10-05 03:45,13.3,0,100,0,0,10,67.7,0.0054,15.02
Pueblo Real (ACAX-TNC),2024-10-05 04:00,13.2,0,100,0,1.1,10,22.2,0.0053,15.13
Pueblo Real (ACAX-TNC),2024-10-05 04:15,13,0,100,0,0,10,351,0.0054,15.37
Pueblo Real (ACAX-TNC),2024-10-05 04:30,13.1,0,100,0,0,10,37.5,0.0054,15.25
Pueblo Real (ACAX-TNC),2024-10-05 04:45,13.3,0,100,0,0.9,10,333.1,0.0053,15.02
Pueblo Real (ACAX-TNC),2024-10-05 05:00,13.5,0,100,0,0.6,10,239.4,0.0053,14.79
Pueblo Real (ACAX-TNC),2024-10-05 05:15,13.7,0,100,0,1.5,10,76.9,0.0052,14.59
Pueblo Real (ACAX-TNC),2024-10-05 05:30,13.8,0,100,0,0.6,10,316.3,0.0053,14.49
Pueblo Real (ACAX-TNC),2024-10-05 05:45,13.6,0,100,0,1.6,10,23.7,0.0052,14.69
Pueblo Real (ACAX-TNC),2024-10-05 06:00,13.2,2,100,0,1.4,10,12.4,0.0055,15.13
Pueblo Real (ACAX-TNC),2024-10-05 06:15,13.1,8.8,100,0,1.6,10,61.1,0.0062,15.25
Pueblo Real (ACAX-TNC),2024-10-05 06:30,13,28.4,100,0,0,10,25.1,0.0088,15.37
Pueblo Real (ACAX-TNC),2024-10-05 06:45,13.1,51.1,100,0,0,10,90.1,0.0116,15.25
Pueblo Real (ACAX-TNC),2024-10-05 07:00,13.6,63,100,0,3.9,10,113.6,0.012,14.69
Pueblo Real (ACAX-TNC),2024-10-05 07:15,14.3,91.1,100,0,4.5,10,229.8,0.0152,14.05
